X,Y,OBJECTID,NCESSCH,NMCNTY,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,STUTERATIO,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-83.58670201,34.12053546,19403,1.30303E+11,Jackson County,2017-2018,GA,1303030,GA-779,Jefferson City,Jefferson Academy,99 Dragon Dr,,,Jefferson,GA,30549,    ,(706)367-2300,3,5,Not a virtual school,223,171,52,,,,,295,288,267,,,,,,,,,850,850,3,53,76,664,0,36,51.79999924,34.120542,-83.586706,31-Town: Fringe,16.41,No,1,2,12,6,28,25,44,32,357,307,0,0,17,19,459,391,1,,,Regular school,Currently operational ,Elementary,18,No,No
-83.50804702,34.33034341,19404,1.30024E+11,Banks County,2017-2018,GA,1300240,GA-606,Banks County,Banks County Elementary School,180 Highway 51 S,,,Homer,GA,30547,    ,(706)677-2308,3,5,Not a virtual school,445,399,46,,,,,199,217,216,,,,,,,,,632,632,0,61,9,529,0,31,45.79999924,34.33035,-83.508051,42-Rural: Distant,13.8,Yes,0,0,1,1,30,31,3,6,269,260,0,0,13,18,316,316,1,,,Regular school,Currently operational ,Elementary,2,No,No
-83.66515405,32.85148773,19405,1.30042E+11,Bibb County,2017-2018,GA,1300420,GA-611,Bibb County,Price Academy,304 Pierce Ave,,,Macon,GA,31204,    ,(478)751-2800,5,8,Not a virtual school,26,26,0,,,,,,,2,6,12,6,,,,,,26,26,0,2,8,16,0,0,3,32.851494,-83.665158,12-City: Mid-size,8.67,Yes,0,0,0,0,2,0,2,6,12,4,0,0,0,0,16,10,1,,,Special education school,Currently operational ,Middle,0,No,No
-81.09791984,32.01180384,19406,1.30102E+11,Chatham County,2017-2018,GA,1301020,GA-625,Savannah-Chatham County,UHS of Savannah Coastal Harbor Treatment Center,1150 Cornell Ave,,,Savannah,GA,31406,    ,(912)354-3911,3,11,Not a virtual school,57,57,0,,,,,5,4,1,4,6,9,14,13,4,,,60,60,0,0,31,28,0,1,6,32.01181,-81.097923,12-City: Mid-size,10,No,0,0,0,0,0,0,13,18,13,15,0,0,0,1,26,34,1,,,Regular school,Currently operational ,Other,0,No,No
-84.37088681,33.63284259,19407,1.30123E+11,Clayton County,2017-2018,GA,1301230,GA-631,Clayton County,Unidos Dual Language School,4475 Hendrix Dr,,,Forest Park,GA,30297,    ,(404)361-3494,PK,5,Not a virtual school,437,437,0,45,55,77,66,71,71,54,,,,,,,,,439,439,1,260,157,6,0,11,34.5,33.632849,-84.370891,21-Suburb: Large,12.72,Yes,1,0,1,3,138,122,52,105,3,3,0,0,6,5,201,238,1,,,Regular school,Currently operational ,Elementary,4,No,No
-84.66335371,33.92645954,19408,1.30129E+11,Cobb County,2017-2018,GA,1301290,GA-633,Cobb County,Lovinggood Middle School,3825 Luther Ward Rd,,,Powder Springs,GA,30127,    ,(678)331-3015,6,8,Not a virtual school,345,267,78,,,,,,,,423,492,459,,,,,,1374,1374,3,162,454,625,1,75,79,33.926466,-84.663358,21-Suburb: Large,17.39,Not Applicable,2,1,27,27,81,81,235,219,298,327,1,0,32,43,676,698,1,,,Regular school,Currently operational ,Middle,54,No,No
-84.65699971,34.00407752,19409,1.30129E+11,Cobb County,2017-2018,GA,1301290,GA-633,Cobb County,McClure Middle School,3660 Old Stilesboro Rd NW,,,Kennesaw,GA,30152,    ,(678)331-8131,6,8,Not a virtual school,249,188,61,,,,,,,,383,403,441,,,,,,1227,1227,7,163,221,736,1,46,73.5,34.004084,-84.657004,21-Suburb: Large,16.69,Not Applicable,1,6,29,24,76,87,100,121,377,359,1,0,21,25,605,622,1,,,Regular school,Currently operational ,Middle,53,No,No
-84.66743371,33.92592754,19410,1.30129E+11,Cobb County,2017-2018,GA,1301290,GA-633,Cobb County,Hillgrove High School,4165 Luther Ward Rd,,,Powder Springs,GA,30127,    ,(678)331-3961,9,12,Not a virtual school,507,385,122,,,,,,,,,,,629,597,604,635,,2465,2465,4,234,853,1201,0,100,117.1999969,33.925934,-84.667438,21-Suburb: Large,21.03,Not Applicable,2,2,28,45,123,111,434,419,607,594,0,0,42,58,1236,1229,1,,,Regular school,Currently operational ,High,73,No,No
-84.60897372,33.98714452,19411,1.30129E+11,Cobb County,2017-2018,GA,1301290,GA-633,Cobb County,Devereux Ackerman Academy,1291 Stanley Rd NW,,,Kennesaw,GA,30152,    ,(770)427-0147,5,11,Not a virtual school,74,74,0,,,,,,,3,2,5,10,33,16,8,,,77,77,0,0,52,25,0,0,12,33.987151,-84.608978,21-Suburb: Large,6.42,Yes,0,0,0,0,0,0,27,25,15,10,0,0,0,0,42,35,1,,,Special education school,Currently operational ,Middle,0,No,No
-84.53053675,33.95338353,19412,1.30351E+11,Cobb County,2017-2018,GA,1303510,GA-781,Marietta City,George W. Hartmann Center,729 Lawrence St NE,,,Marietta,GA,30060,    ,(770)971-7801,10,11,Not a virtual school,3,-1,-1,,,,,,,,,,,,9,2,,,11,11,0,2,3,6,0,0,1,33.95339,-84.530541,13-City: Small,11,Yes,0,0,0,0,1,1,3,0,3,3,0,0,0,0,7,4,1,,,Alternative/other school,Currently operational ,Secondary,0,No,No
-83.35813515,32.68278476,19413,1.30522E+11,Twiggs County,2017-2018,GA,1305220,GA-743,Twiggs County,Twiggs Middle School,375 Watson Dr,,,Jeffersonville,GA,31044,    ,(478)945-3113,6,8,Not a virtual school,146,146,0,,,,,,,,53,63,44,,,,,,160,160,0,0,100,54,0,5,11.60000038,32.682791,-83.358139,42-Rural: Distant,13.79,Yes,0,0,0,1,0,0,57,43,29,25,0,0,1,4,87,73,1,,,Regular school,Currently operational ,Middle,1,No,No
-84.71350672,33.36218566,19414,1.3015E+11,Coweta County,2017-2018,GA,1301500,GA-638,Coweta County,Welch Elementary School,240 Mary Freeman Rd,,,Newnan,GA,30265,    ,(770)254-2597,PK,5,Not a virtual school,422,384,38,48,102,121,111,155,115,134,,,,,,,,,786,786,3,100,307,317,0,40,54,33.362192,-84.713511,21-Suburb: Large,14.56,Yes,3,0,9,10,48,52,158,149,167,150,0,0,15,25,400,386,1,,,Regular school,Currently operational ,Elementary,19,No,No
-84.34610681,33.78061356,19415,1.30174E+11,DeKalb County,2017-2018,GA,1301740,GA-644,DeKalb County,UHS of Laurel Heights,934 Briarcliff Rd NE,,,Atlanta,GA,30306,    ,(404)888-7876,2,12,Not a virtual school,6,6,0,,,,1,1,2,5,3,6,1,5,8,6,2,,40,40,0,2,17,18,0,1,6.5,33.78062,-84.346111,21-Suburb: Large,6.15,Yes,0,0,1,1,2,0,9,8,6,12,0,0,1,0,19,21,1,,,Special education school,Currently operational ,Other,2,No,No
-84.17331586,33.80523155,19416,1.30174E+11,DeKalb County,2017-2018,GA,1301740,GA-644,DeKalb County,The Champion Middle Theme School,5265 Mimosa Dr,,,Stone Mountain,GA,30083,    ,(678)504-4302,6,8,Not a virtual school,510,429,81,,,,,,,,263,269,268,,,,,,800,800,2,13,776,1,0,7,44,33.805238,-84.17332,21-Suburb: Large,18.18,Yes,2,0,1,0,6,7,391,385,0,1,0,0,4,3,404,396,1,,,Regular school,Currently operational ,Middle,1,No,No
-84.19485885,33.83250254,19417,1.30174E+11,DeKalb County,2017-2018,GA,1301740,GA-644,DeKalb County,Dekalb Early College Academy,1701 Mountain Industrial Blvd,,,Stone Mountain,GA,30083,    ,(678)676-0221,9,12,Not a virtual school,196,168,28,,,,,,,,,,,87,76,82,88,,333,333,1,14,297,5,0,5,17,33.832509,-84.194863,21-Suburb: Large,19.59,Yes,0,1,6,5,8,6,96,201,1,4,0,0,3,2,114,219,1,,,Regular school,Currently operational ,High,11,No,No
