X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,GSLO,GSHI,VIRTUAL,TOTFRL,FRELCH,REDLCH,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,TOTAL,MEMBER,AM,HI,BL,WH,HP,TR,FTE,LATCOD,LONCOD,ULOCALE,NMCNTY,STUTERATIO,TITLEI,STITLEI,AMALM,AMALF,ASALM,ASALF,HIALM,HIALF,BLALM,BLALF,WHALM,WHALF,HPALM,HPALF,TRALM,TRALF,TOTMENROL,TOTFENROL,STATUS,UG,AE,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,SCHOOL_LEVEL,AS,CHARTER_TEXT,MAGNET_TEXT
-9304818.738,4044991.499,18808,1.30303E+11,2018-2019,GA,1303030,GA-779,Jefferson City,Jefferson Academy,99 Dragon Dr,,Jefferson,GA,30549,    ,(706)367-2300,3,5,Not Virtual,242,174,68,,,,,278,303,316,,,,,,,,,897,897,1,62,76,708,0,38,56,34.120542,-83.586706,31-Town: Fringe,Jackson County,16,1-Yes,2-No,1,0,10,2,32,30,41,35,366,342,0,0,15,23,465,432,1,,,Regular school,Currently operational ,Elementary,12,No,No
-9296067.548,4073242.947,18809,1.30024E+11,2018-2019,GA,1300240,GA-606,Banks County,Banks County Elementary School,180 Highway 51 S,,Homer,GA,30547,    ,(706)677-2308,3,5,Not Virtual,398,338,60,,,,,190,203,213,,,,,,,,,606,606,0,62,11,496,0,33,46.5,34.33035,-83.508051,42-Rural: Distant,Banks County,13,1-Yes,1-Yes,0,0,2,2,26,36,4,7,264,232,0,0,14,19,310,296,1,,,Regular school,Currently operational ,Elementary,4,No,No
-9313556.34,3875609.814,18810,1.30042E+11,2018-2019,GA,1300420,GA-611,Bibb County,Price Academy,304 Pierce Ave,,Macon,GA,31204,    ,(478)751-2800,3,8,Not Virtual,27,27,0,,,,,2,1,5,3,8,9,,,,,,28,28,0,1,9,16,0,2,4,32.851494,-83.665158,12-City: Mid-size,Bibb County,7,1-Yes,1-Yes,0,0,0,0,0,1,5,4,13,3,0,0,1,1,19,9,1,,,Regular school,Currently operational ,Middle,0,No,No
-9027776.976,3764873.032,18811,1.30102E+11,2018-2019,GA,1301020,GA-625,Savannah-Chatham County,UHS of Savannah Coastal Harbor Treatment Center,1150 Cornell Ave,,Savannah,GA,31406,    ,(912)354-3911,2,12,Not Virtual,9,9,0,,,,1,2,3,6,4,3,10,9,6,6,3,,53,53,0,3,20,27,0,2,6,32.01181,-81.097923,12-City: Mid-size,Chatham County,8.8,1-Yes,2-No,0,0,1,0,1,2,11,9,14,13,0,0,0,2,27,26,1,,,Regular school,Currently operational ,Other,1,No,No
-9392126.811,3979611.798,18812,1.30123E+11,2018-2019,GA,1301230,GA-631,Clayton County,Unidos Dual Language School,4475 Hendrix Dr,,Forest Park,GA,30297,    ,(404)361-3494,PK,5,Not Virtual,427,427,0,44,95,72,69,64,61,56,,,,,,,,,461,461,0,273,172,6,0,10,31.5,33.632849,-84.370891,21-Suburb: Large,Clayton County,14.6,1-Yes,1-Yes,0,0,0,0,144,129,64,108,3,3,0,0,4,6,215,246,1,,,Regular school,Currently operational ,Elementary,0,No,No
-9424665.204,4018938.871,18813,1.30129E+11,2018-2019,GA,1301290,GA-633,Cobb County,Lovinggood Middle School,3825 Luther Ward Rd,,Powder Springs,GA,30127,    ,(678)331-3015,6,8,Not Virtual,352,263,89,,,,,,,,463,439,508,,,,,,1410,1410,1,180,460,633,2,75,78.19999695,33.926466,-84.663358,21-Suburb: Large,Cobb County,18,Not Applicable,Not Applicable,1,0,30,29,93,87,234,226,319,314,0,2,32,43,709,701,1,,,Regular school,Currently operational ,Middle,59,No,No
-9423972.175,4029351.14,18814,1.30129E+11,2018-2019,GA,1301290,GA-633,Cobb County,McClure Middle School,3660 Old Stilesboro Rd NW,,Kennesaw,GA,30152,    ,(678)331-8131,6,8,Not Virtual,218,169,49,,,,,,,,339,363,415,,,,,,1117,1117,3,163,183,667,1,57,69.90000153,34.004084,-84.657004,21-Suburb: Large,Cobb County,16,Not Applicable,Not Applicable,0,3,20,23,77,86,97,86,331,336,1,0,27,30,553,564,1,,,Regular school,Currently operational ,Middle,43,No,No
-9425134.018,4018881.552,18815,1.30129E+11,2018-2019,GA,1301290,GA-633,Cobb County,Hillgrove High School,4165 Luther Ward Rd,,Powder Springs,GA,30127,    ,(678)331-3961,9,12,Not Virtual,496,366,130,,,,,,,,,,,563,590,586,660,,2399,2399,5,250,839,1120,1,108,116.4000015,33.925934,-84.667438,21-Suburb: Large,Cobb County,20.6,Not Applicable,Not Applicable,3,2,29,47,126,124,439,400,573,547,1,0,51,57,1222,1177,1,,,Regular school,Currently operational ,High,76,No,No
-9418618.186,4027072.9,18816,1.30129E+11,2018-2019,GA,1301290,GA-633,Cobb County,Devereux Ackerman Academy,1291 Stanley Rd NW,,Kennesaw,GA,30152,    ,(770)427-0147,5,11,Not Virtual,80,80,0,,,,,,,2,6,8,8,36,15,8,,,83,83,0,4,52,26,0,1,11.60000038,33.987151,-84.608978,21-Suburb: Large,Cobb County,7.2,1-Yes,1-Yes,0,0,0,0,1,3,20,32,16,10,0,0,1,0,38,45,1,,,Regular school,Currently operational ,Middle,0,No,No
-9409894.173,4022558.74,18817,1.30351E+11,2018-2019,GA,1303510,GA-781,Marietta City,George W. Hartmann Center,729 Lawrence St NE,,Marietta,GA,30060,    ,(770)971-7801,9,12,Not Virtual,3,-1,-1,,,,,,,,,,,9,2,4,1,,16,16,0,5,6,4,0,1,1,33.95339,-84.530541,13-City: Small,Cobb County,16,Not Applicable,Not Applicable,0,0,0,0,4,1,6,0,3,1,0,0,1,0,14,2,1,,,Regular school,Currently operational ,High,0,No,No
-9279380.495,3853292.443,18818,1.30522E+11,2018-2019,GA,1305220,GA-743,Twiggs County,Twiggs Middle School,375 Watson Dr,,Jeffersonville,GA,31044,    ,(478)945-3113,6,8,Not Virtual,178,178,0,,,,,,,,65,55,58,,,,,,178,178,0,1,106,69,0,2,12,32.682791,-83.358139,42-Rural: Distant,Twiggs County,14.8,1-Yes,1-Yes,0,0,0,0,1,0,61,45,41,28,0,0,1,1,104,74,1,,,Regular school,Currently operational ,Middle,0,No,No
-9430263.792,3943493.184,18819,1.3015E+11,2018-2019,GA,1301500,GA-638,Coweta County,Welch Elementary School,240 Mary Freeman Rd,,Newnan,GA,30265,    ,(770)254-2597,PK,5,Not Virtual,435,391,44,49,132,113,126,124,146,119,,,,,,,,,809,809,1,105,313,323,0,49,55,33.362192,-84.713511,21-Suburb: Large,Coweta County,14.7,1-Yes,1-Yes,1,0,7,11,49,56,159,154,171,152,0,0,23,26,410,399,1,,,Regular school,Currently operational ,Elementary,18,No,No
-9389354.695,3999393.36,18820,1.30174E+11,2018-2019,GA,1301740,GA-644,DeKalb County,UHS of Laurel Heights,934 Briarcliff Rd NE,,Atlanta,GA,30306,    ,(404)888-7876,1,12,Not Virtual,3,3,0,,,1,1,1,,,3,5,6,14,7,1,1,,40,40,0,2,17,21,0,0,6.5,33.78062,-84.346111,21-Suburb: Large,DeKalb County,6.2,1-Yes,1-Yes,0,0,0,0,1,1,6,11,13,8,0,0,0,0,20,20,1,,,Regular school,Currently operational ,Other,0,No,No
-9370126.535,4002688.151,18821,1.30174E+11,2018-2019,GA,1301740,GA-644,DeKalb County,The Champion Middle Theme School,5265 Mimosa Dr,,Stone Mountain,GA,30083,    ,(678)504-4302,6,8,Not Virtual,532,446,86,,,,,,,,271,272,259,,,,,,802,802,2,9,783,2,0,5,44,33.805238,-84.17332,21-Suburb: Large,DeKalb County,18.2,1-Yes,1-Yes,2,0,0,1,3,6,390,393,0,2,0,0,3,2,398,404,1,,,Regular school,Currently operational ,Middle,1,No,No
-9372531.754,4006335.6,18822,1.30174E+11,2018-2019,GA,1301740,GA-644,DeKalb County,Dekalb Early College Academy,1701 Mountain Industrial Blvd,,Stone Mountain,GA,30083,    ,(678)676-0221,9,12,Not Virtual,177,140,37,,,,,,,,,,,80,78,72,72,,302,302,0,14,263,8,0,5,17.5,33.832509,-84.194863,21-Suburb: Large,DeKalb County,17.3,1-Yes,1-Yes,0,0,8,4,7,7,82,181,1,7,0,0,3,2,101,201,1,,,Regular school,Currently operational ,High,12,No,No
-9431833.299,3993664.475,18823,1.30186E+11,2018-2019,GA,1301860,GA-648,Douglas County,Brighten Academy,5897 Prestley Mill Rd,,Douglasville,GA,30135,    ,(770)615-3680,KG,8,Not Virtual,297,241,56,,87,87,93,94,100,104,90,89,58,,,,,,802,802,0,74,488,206,0,25,41.90000153,33.7379,-84.727621,21-Suburb: Large,Douglas County,19.1,Not Applicable,Not Applicable,0,0,5,4,30,44,230,258,95,111,0,0,13,12,373,429,1,,,Regular school,Currently operational ,Elementary,9,Yes,No
-9432533.123,3985603.112,18824,1.30186E+11,2018-2019,GA,1301860,GA-648,Douglas County,Youth Villages at Inner Harbour,4685 Dorsett Shoals Rd,,Douglasville,GA,30135,    ,(770)942-2391,2,12,Not Virtual,54,54,0,,,,1,2,,2,4,4,10,19,12,2,1,,57,57,0,1,20,28,0,8,16.79999924,33.677739,-84.733866,41-Rural: Fringe,Douglas County,3.4,1-Yes,1-Yes,0,0,0,0,0,1,7,13,15,13,0,0,5,3,27,30,1,,,Regular school,Currently operational ,Other,0,No,No
-9343254.673,3900149.601,18825,1.30003E+11,2018-2019,GA,1300025,GA-890,Department of Corrections,Department of Corrections,300 Patrol Rd,,Forsyth,GA,31029,    ,(478)992-5916,2,12,Not Virtual,-1,-1,-1,,,,3,2,3,5,1,2,,6,1,,1,,24,24,0,0,20,4,0,0,,33.036412,-83.931905,32-Town: Distant,Monroe County,,Not Applicable,Not Applicable,0,0,0,0,0,0,20,0,4,0,0,0,0,0,24,0,1,,,Alternative/other school,Currently operational ,Other,0,No,No
-9394321.403,3995829.837,18826,1.30003E+11,2018-2019,GA,1300027,GA-892,Department of Human Resources,Department of Human Resources,2 Peachtree Street NW,11 th floor,Atlanta,GA,30303,    ,(404)657-0435,PK,12,Not Virtual,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,33.75416,-84.390641,11-City: Large,Fulton County,-1,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,1,,,Alternative/other school,Currently operational ,Other,,No,No
-9391515.315,4000676.826,18827,1.30012E+11,2018-2019,GA,1300120,GA-761,Atlanta Public Schools,Hillside Conant School,690 Courtenay Dr NE,,Atlanta,GA,30306,    ,(404)875-4551,1,12,Not Virtual,56,56,0,,,1,2,2,3,8,7,6,5,10,9,4,2,,59,59,0,5,24,27,0,3,12,33.790283,-84.365399,11-City: Large,Fulton County,4.9,1-Yes,1-Yes,0,0,0,0,3,2,14,10,17,10,0,0,2,1,36,23,1,,,Regular school,Currently operational ,Other,0,No,No
-9427260.666,3964973.127,18828,1.30228E+11,2018-2019,GA,1302280,GA-660,Fulton County,Georgia Baptist Children's Home and Family Ministries,9250 Hutcheson Ferry Rd,,Palmetto,GA,30268,    ,(770)463-3344,4,12,Not Virtual,17,17,0,,,,,,2,,1,1,1,11,3,,1,,20,20,0,2,10,7,0,1,1.600000024,33.523321,-84.686517,41-Rural: Fringe,Fulton County,12.5,1-Yes,2-No,0,0,0,0,1,1,3,7,4,3,0,0,0,1,8,12,1,,,Regular school,Currently operational ,Other,0,No,No
-9069501.402,3673845.428,18829,1.3024E+11,2018-2019,GA,1302400,GA-663,Glynn County,Morningstar Treatment Services- Inc. Youth Estate,1 Youth Estate Dr. Highway 99,,Brunswick,GA,31525,    ,(912)267-3700,6,12,Not Virtual,35,35,0,,,,,,,,2,5,7,13,4,5,2,,38,38,0,1,19,17,0,1,6.199999809,31.31586,-81.472697,41-Rural: Fringe,Glynn County,6.1,1-Yes,2-No,0,0,0,0,1,0,13,6,9,8,0,0,1,0,24,14,1,,,Regular school,Currently operational ,High,0,No,No
-9374671.991,4022960.109,18830,1.30255E+11,2018-2019,GA,1302550,GA-667,Gwinnett County,Gwinnett Intervention Education Center (GIVE) West,5550 Peachtree Industrial Blvd,,Norcross,GA,30071,    ,(770)246-5300,6,12,Not Virtual,190,174,16,,,,,,,,12,28,39,80,52,21,21,,253,253,1,128,100,9,0,7,33.70000076,33.95649,-84.214236,21-Suburb: Large,Gwinnett County,7.5,1-Yes,1-Yes,1,0,6,2,100,28,67,33,7,2,0,0,3,4,184,69,1,,,Regular school,Currently operational ,High,8,No,No
